airline,flight_number,departure,destination,date,price,seats_available
SereneAir,SE523,Doha,Beijing,2026-06-24,236.07,88
Singapore Airlines,SI200,Cape Town,Tokyo,2026-06-05,499.12,199
Etihad,ET298,Lahore,Cape Town,2025-11-16,859.08,73
British Airways,BR353,Delhi,Sydney,2026-06-12,549.21,185
Qatar Airways,QA891,Beijing,Delhi,2026-03-06,591.19,287
PIA,PI960,Beijing,Mumbai,2025-10-12,332.18,53
Singapore Airlines,SI351,Cape Town,Singapore,2026-05-27,457.85,299
British Airways,BR568,Cape Town,Tokyo,2026-05-22,889.57,93
British Airways,BR722,Cape Town,Mumbai,2026-07-09,741.98,177
Etihad,ET751,Lahore,Abu Dhabi,2025-11-15,470.54,54
Lufthansa,LU144,Lahore,Islamabad,2025-10-05,463.43,51
Turkish Airlines,TU402,Abu Dhabi,Singapore,2026-04-03,156.11,83
SereneAir,SE138,Mumbai,Doha,2026-06-20,172.28,134
Turkish Airlines,TU845,London,Cape Town,2026-09-25,972.61,230
Turkish Airlines,TU638,Islamabad,London,2026-09-23,942.13,265
Lufthansa,LU203,Karachi,Islamabad,2026-09-18,820.9,294
Emirates,EM581,Cape Town,Frankfurt,2026-09-29,573.38,210
SereneAir,SE858,London,Karachi,2026-08-30,843.28,24
Turkish Airlines,TU222,London,Beijing,2026-02-26,493.04,197
PIA,PI199,Sydney,Istanbul,2025-11-23,819.82,160
PIA,PI545,Lahore,Sydney,2026-07-22,338.54,139
Qatar Airways,QA621,Singapore,Beijing,2026-06-08,104.84,147
AirBlue,AI858,Karachi,Dubai,2026-05-12,718.69,102
British Airways,BR606,Dubai,Singapore,2026-08-16,112.85,216
British Airways,BR295,Tokyo,Frankfurt,2025-11-09,632.88,266
Etihad,ET611,Mumbai,Abu Dhabi,2026-09-28,918.71,76
Lufthansa,LU417,Karachi,Bangkok,2026-02-17,936.32,213
Singapore Airlines,SI188,London,Istanbul,2025-10-01,710.29,229
Qatar Airways,QA950,Karachi,Singapore,2026-08-13,210.39,73
Qatar Airways,QA739,Abu Dhabi,Doha,2025-10-11,672.48,82
Etihad,ET850,Islamabad,Istanbul,2026-08-21,738.31,240
Lufthansa,LU824,New York,Karachi,2026-06-17,692.06,196
SereneAir,SE651,Toronto,Islamabad,2026-07-06,414.48,36
Etihad,ET770,Tokyo,Lahore,2026-09-03,782.56,203
PIA,PI256,Istanbul,Paris,2026-03-11,154.45,27
SereneAir,SE712,Tokyo,Delhi,2026-03-29,694.58,124
Emirates,EM186,Paris,Islamabad,2026-02-24,590.07,184
PIA,PI493,Frankfurt,Paris,2026-05-25,276.29,89
Qatar Airways,QA448,Dubai,New York,2026-02-15,925.39,183
Singapore Airlines,SI395,Karachi,Islamabad,2025-11-12,637.49,154
Etihad,ET660,Islamabad,Lahore,2026-03-12,481.51,155
Singapore Airlines,SI824,Dubai,Beijing,2025-11-21,654.76,61
SereneAir,SE850,New York,Sydney,2026-02-03,774.34,106
SereneAir,SE896,Istanbul,Beijing,2026-05-15,982.93,197
SereneAir,SE226,Bangkok,Sydney,2025-11-21,524.85,245
Etihad,ET536,Singapore,Delhi,2026-04-01,198.13,237
Etihad,ET116,New York,Dubai,2026-06-19,534.18,154
Etihad,ET403,Sydney,Lahore,2026-05-12,321.74,55
Turkish Airlines,TU804,Delhi,Tokyo,2026-05-18,587.66,17
Etihad,ET304,Dubai,Singapore,2026-02-07,345.53,32
Lufthansa,LU457,Singapore,Istanbul,2026-08-29,481.18,127
PIA,PI480,Toronto,New York,2026-05-31,883.83,12
Singapore Airlines,SI954,Karachi,Abu Dhabi,2025-11-10,318.58,89
Etihad,ET249,Istanbul,Lahore,2026-09-10,730.08,295
SereneAir,SE798,Islamabad,Sydney,2025-12-11,681.04,127
Qatar Airways,QA410,New York,Doha,2026-05-26,283.08,31
PIA,PI714,Beijing,Singapore,2026-07-04,459.19,152
Lufthansa,LU861,Singapore,London,2025-10-11,987.67,17
Qatar Airways,QA380,Beijing,Doha,2026-03-16,487.65,14
Qatar Airways,QA707,London,Istanbul,2026-01-29,476.14,275
Singapore Airlines,SI590,Abu Dhabi,Istanbul,2025-12-01,743.78,19
Lufthansa,LU547,Tokyo,New York,2026-07-21,816.64,104
Lufthansa,LU601,Islamabad,Sydney,2026-07-09,296.74,22
PIA,PI711,London,Cape Town,2026-08-11,366.75,145
British Airways,BR481,Mumbai,Karachi,2026-06-24,317.22,288
Etihad,ET232,Bangkok,Toronto,2026-07-17,527.22,65
Etihad,ET741,Istanbul,Tokyo,2026-04-22,262.99,247
AirBlue,AI739,Doha,Toronto,2026-02-18,717.33,196
AirBlue,AI908,Cape Town,Frankfurt,2026-09-13,956.16,240
Turkish Airlines,TU172,Doha,Delhi,2026-06-23,521.43,288
Turkish Airlines,TU527,Toronto,Abu Dhabi,2025-11-21,375.76,277
Singapore Airlines,SI747,Delhi,Frankfurt,2026-06-17,374.08,161
Emirates,EM523,Frankfurt,Singapore,2026-04-10,646.27,246
Lufthansa,LU557,Abu Dhabi,Tokyo,2025-12-19,729.68,17
AirBlue,AI686,Doha,Beijing,2025-11-23,778.91,110
SereneAir,SE587,Frankfurt,Lahore,2026-03-26,893.95,111
Qatar Airways,QA946,Lahore,Islamabad,2026-08-19,655.02,64
Singapore Airlines,SI758,London,Islamabad,2026-07-23,482.56,127
Emirates,EM450,Mumbai,Cape Town,2026-05-15,154.51,105
British Airways,BR543,Karachi,Doha,2026-08-06,598.28,271
Lufthansa,LU224,London,Toronto,2026-03-13,655.68,70
Lufthansa,LU771,Karachi,Bangkok,2026-03-06,254.55,291
SereneAir,SE259,Abu Dhabi,Islamabad,2026-09-15,216.14,191
Emirates,EM628,Mumbai,Beijing,2025-12-30,155.07,183
Lufthansa,LU139,Mumbai,New York,2026-02-15,978.0,240
Singapore Airlines,SI425,Delhi,Sydney,2025-12-10,385.26,293
PIA,PI683,Abu Dhabi,Doha,2026-08-06,728.67,125
Lufthansa,LU473,Mumbai,Frankfurt,2026-01-22,712.05,281
Singapore Airlines,SI656,Sydney,Singapore,2025-12-12,792.45,119
British Airways,BR149,Sydney,Doha,2025-10-10,245.65,164
SereneAir,SE475,Cape Town,Dubai,2025-10-03,738.59,14
British Airways,BR531,Cape Town,Mumbai,2026-04-29,899.63,51
PIA,PI481,Doha,Toronto,2025-11-06,416.76,187
AirBlue,AI304,Karachi,Beijing,2026-04-27,417.76,26
SereneAir,SE967,Frankfurt,Singapore,2026-07-30,865.32,171
Singapore Airlines,SI667,Mumbai,Tokyo,2026-07-01,705.69,240
PIA,PI309,Sydney,London,2026-03-13,100.34,226
SereneAir,SE707,Frankfurt,Islamabad,2025-11-21,994.85,287
Singapore Airlines,SI134,Mumbai,Cape Town,2026-09-24,898.82,184
PIA,PI142,Singapore,Beijing,2026-09-29,796.57,33
Lufthansa,LU267,Sydney,Bangkok,2026-03-25,953.57,79
Lufthansa,LU892,Delhi,Mumbai,2026-08-20,632.33,193
AirBlue,AI494,Islamabad,Delhi,2026-04-13,910.51,127
Emirates,EM493,Mumbai,Frankfurt,2026-05-19,541.84,281
Etihad,ET874,Cape Town,Tokyo,2025-10-29,632.77,194
PIA,PI112,Singapore,London,2026-07-17,957.42,17
British Airways,BR708,Dubai,Mumbai,2026-06-16,634.86,94
SereneAir,SE178,Dubai,Lahore,2025-11-04,621.48,22
Emirates,EM435,Lahore,Delhi,2026-01-23,246.78,289
Etihad,ET642,Sydney,Abu Dhabi,2026-03-09,714.26,262
Emirates,EM470,New York,Islamabad,2025-12-04,118.82,185
SereneAir,SE130,Delhi,Singapore,2026-03-07,211.97,183
SereneAir,SE236,London,Karachi,2026-04-27,495.54,294
Etihad,ET504,Mumbai,London,2026-01-31,159.88,240
British Airways,BR874,Singapore,Dubai,2026-01-02,525.87,249
British Airways,BR517,Frankfurt,Delhi,2026-07-13,167.48,229
Emirates,EM948,Karachi,Dubai,2026-09-03,136.03,160
Lufthansa,LU444,Dubai,Mumbai,2025-11-02,379.06,104
Etihad,ET266,London,Karachi,2025-12-12,943.21,185
Turkish Airlines,TU120,Delhi,Mumbai,2026-08-14,447.24,55
Turkish Airlines,TU745,Frankfurt,Sydney,2026-09-16,686.47,29
SereneAir,SE959,Bangkok,New York,2025-12-06,948.15,193
AirBlue,AI247,Delhi,Dubai,2026-09-02,333.38,242
Emirates,EM648,Bangkok,Abu Dhabi,2026-06-15,238.36,86
PIA,PI149,Doha,Karachi,2026-08-28,737.46,129
SereneAir,SE205,Lahore,Beijing,2026-07-02,450.24,110
Etihad,ET169,Lahore,Bangkok,2026-02-13,296.74,178
Lufthansa,LU112,Mumbai,Bangkok,2026-04-09,294.98,168
SereneAir,SE960,Islamabad,Dubai,2026-08-02,778.3,185
British Airways,BR407,Bangkok,Singapore,2026-01-22,557.83,227
Emirates,EM718,Abu Dhabi,Mumbai,2026-06-19,759.07,135
Lufthansa,LU826,Singapore,Bangkok,2026-07-27,654.51,251
PIA,PI897,New York,Bangkok,2026-02-14,741.14,210
PIA,PI984,Istanbul,Sydney,2026-01-19,723.5,284
AirBlue,AI326,Beijing,Frankfurt,2025-10-04,112.59,232
AirBlue,AI717,Doha,Cape Town,2026-05-28,581.26,65
British Airways,BR456,Islamabad,Abu Dhabi,2025-11-27,321.47,100
PIA,PI977,Karachi,Cape Town,2026-09-19,338.49,202
AirBlue,AI510,Paris,Bangkok,2026-06-12,570.46,115
Singapore Airlines,SI448,Cape Town,Mumbai,2026-06-09,796.54,231
AirBlue,AI207,Istanbul,Dubai,2025-12-06,155.26,121
Turkish Airlines,TU858,Bangkok,Dubai,2026-07-17,697.0,281
SereneAir,SE440,Islamabad,Bangkok,2026-07-12,140.56,181
Etihad,ET140,Delhi,Dubai,2026-02-23,316.83,194
AirBlue,AI704,Singapore,Toronto,2026-07-16,508.83,266
Emirates,EM685,Paris,Lahore,2025-12-13,329.03,85
SereneAir,SE601,Tokyo,New York,2026-04-07,508.25,218
PIA,PI836,Dubai,Karachi,2025-11-23,946.1,14
Turkish Airlines,TU448,Paris,Karachi,2026-05-01,733.39,148
Turkish Airlines,TU757,Delhi,Beijing,2026-01-18,197.11,107
British Airways,BR421,Cape Town,Abu Dhabi,2026-02-17,715.54,191
SereneAir,SE446,Dubai,Cape Town,2026-07-08,851.98,32
Qatar Airways,QA642,Frankfurt,Bangkok,2026-08-14,487.78,58
PIA,PI914,Istanbul,Delhi,2026-06-01,186.76,161
British Airways,BR414,Lahore,Tokyo,2026-05-23,370.34,158
SereneAir,SE170,Abu Dhabi,Istanbul,2026-05-28,389.3,298
Lufthansa,LU713,New York,Delhi,2025-10-30,128.56,46
Lufthansa,LU832,Doha,New York,2026-08-23,921.76,58
Qatar Airways,QA388,Islamabad,Mumbai,2026-03-18,283.2,37
PIA,PI707,Delhi,Doha,2026-02-02,339.65,108
Singapore Airlines,SI912,Cape Town,Doha,2026-08-22,482.78,221
SereneAir,SE799,Toronto,Karachi,2025-12-06,560.96,171
AirBlue,AI970,Bangkok,Dubai,2025-10-03,408.62,195
AirBlue,AI642,Frankfurt,Lahore,2026-07-19,600.94,104
Turkish Airlines,TU610,Lahore,Tokyo,2026-08-13,711.68,250
Lufthansa,LU618,Paris,Bangkok,2025-12-10,967.72,138
Turkish Airlines,TU347,Lahore,New York,2026-07-28,698.91,203
Turkish Airlines,TU260,Islamabad,Doha,2026-09-09,934.53,267
SereneAir,SE263,Tokyo,Cape Town,2025-12-06,591.16,43
AirBlue,AI363,Lahore,Singapore,2026-08-30,768.69,297
Etihad,ET884,Tokyo,Toronto,2026-05-18,906.62,256
AirBlue,AI603,Bangkok,Lahore,2025-12-14,193.79,24
AirBlue,AI952,New York,Lahore,2026-03-19,146.8,138
Lufthansa,LU866,New York,Beijing,2026-08-24,423.15,81
Emirates,EM677,Delhi,Frankfurt,2026-02-17,952.39,227
SereneAir,SE294,Toronto,New York,2026-03-25,303.79,11
Singapore Airlines,SI836,Sydney,Abu Dhabi,2025-12-03,128.14,116
SereneAir,SE705,Singapore,Lahore,2025-11-14,135.3,192
PIA,PI581,Delhi,Beijing,2026-09-29,208.54,77
PIA,PI403,Delhi,Mumbai,2025-10-03,369.22,62
British Airways,BR530,Abu Dhabi,Dubai,2025-12-21,537.22,295
Etihad,ET996,Dubai,Abu Dhabi,2026-02-02,268.41,36
Qatar Airways,QA687,Beijing,Dubai,2026-04-30,154.08,260
SereneAir,SE902,Bangkok,Frankfurt,2026-09-12,816.87,255
SereneAir,SE149,Cape Town,Islamabad,2025-10-30,979.19,106
Lufthansa,LU315,Islamabad,Karachi,2026-01-06,588.75,207
Singapore Airlines,SI981,Mumbai,Beijing,2026-07-19,362.45,268
PIA,PI114,Tokyo,Sydney,2025-11-06,971.65,171
Lufthansa,LU278,Mumbai,Dubai,2026-06-21,977.78,12
AirBlue,AI627,Toronto,Lahore,2026-08-01,230.1,212
Etihad,ET101,New York,Karachi,2026-03-25,343.0,249
SereneAir,SE806,New York,Delhi,2026-01-24,958.56,18
Lufthansa,LU373,Bangkok,Karachi,2026-01-25,980.08,276
Lufthansa,LU458,Bangkok,Dubai,2026-09-07,675.57,230
Etihad,ET757,London,Karachi,2026-03-18,716.13,178
Lufthansa,LU115,Abu Dhabi,Mumbai,2026-09-17,600.13,231
Emirates,EM289,Tokyo,Beijing,2026-01-21,321.32,277
SereneAir,SE470,Singapore,Toronto,2026-07-03,269.02,271
Emirates,EM533,Islamabad,London,2026-04-10,851.65,286
SereneAir,SE761,New York,Beijing,2026-07-20,910.39,129
SereneAir,SE206,Delhi,Dubai,2026-08-03,545.94,25
Qatar Airways,QA837,Singapore,Toronto,2026-03-17,888.62,63
Lufthansa,LU226,Doha,London,2026-07-15,237.44,87
Singapore Airlines,SI877,Mumbai,Beijing,2026-09-14,416.98,68
Turkish Airlines,TU537,Istanbul,Paris,2025-11-13,570.77,200
PIA,PI120,London,Frankfurt,2026-05-30,814.55,33
SereneAir,SE103,Lahore,Islamabad,2026-07-15,761.32,51
SereneAir,SE383,Karachi,Frankfurt,2026-07-31,668.57,174
Emirates,EM918,Singapore,Bangkok,2026-04-18,666.99,256
Qatar Airways,QA445,Singapore,Abu Dhabi,2026-03-10,307.99,92
British Airways,BR129,Cape Town,Beijing,2026-05-30,650.25,30
SereneAir,SE524,Singapore,Doha,2025-12-05,654.6,52
Emirates,EM823,Lahore,Sydney,2026-09-04,962.98,76
SereneAir,SE576,Paris,Abu Dhabi,2026-08-27,502.14,36
Lufthansa,LU785,Karachi,Abu Dhabi,2025-10-14,792.77,117
Lufthansa,LU947,Singapore,Mumbai,2026-08-16,329.2,215
British Airways,BR633,Paris,Toronto,2026-08-07,427.45,70
Turkish Airlines,TU246,Bangkok,Frankfurt,2026-08-14,889.22,229
AirBlue,AI475,Paris,Doha,2026-02-05,408.6,178
Singapore Airlines,SI157,Beijing,Dubai,2026-09-11,280.05,149
Singapore Airlines,SI504,Singapore,Doha,2026-09-04,724.45,192
British Airways,BR786,New York,Bangkok,2026-07-08,154.07,238
Lufthansa,LU932,Frankfurt,Doha,2026-04-13,943.02,24
Turkish Airlines,TU557,Singapore,Tokyo,2025-12-23,737.92,82
SereneAir,SE453,Mumbai,Karachi,2025-11-18,416.31,178
Singapore Airlines,SI576,Lahore,New York,2026-01-24,692.38,287
AirBlue,AI660,Dubai,Istanbul,2025-12-11,828.36,157
Turkish Airlines,TU969,Singapore,Istanbul,2026-06-22,568.84,172
Qatar Airways,QA333,Beijing,New York,2026-05-23,557.2,265
Lufthansa,LU628,Lahore,Mumbai,2026-03-06,978.94,211
Etihad,ET834,New York,Mumbai,2026-09-27,245.94,45
Etihad,ET257,Toronto,Lahore,2026-09-03,953.63,247
Singapore Airlines,SI597,Toronto,Abu Dhabi,2026-04-21,367.31,212
Etihad,ET543,Singapore,Lahore,2026-08-04,526.47,285
AirBlue,AI326,Paris,Istanbul,2026-02-18,297.32,53
Etihad,ET946,Dubai,Doha,2026-06-02,612.16,65
British Airways,BR282,Frankfurt,Lahore,2026-08-12,266.09,166
Singapore Airlines,SI573,Karachi,Cape Town,2025-10-26,813.99,193
Turkish Airlines,TU644,Delhi,Sydney,2025-10-21,290.04,152
PIA,PI414,Istanbul,Karachi,2025-11-28,688.91,168
Emirates,EM686,Frankfurt,London,2026-05-11,843.25,275
PIA,PI779,Lahore,Islamabad,2026-08-07,730.34,151
SereneAir,SE666,London,Lahore,2025-12-25,504.82,18
British Airways,BR310,Delhi,Toronto,2026-07-31,191.12,118
Etihad,ET236,Lahore,Beijing,2026-06-23,494.26,177
Qatar Airways,QA461,New York,Singapore,2026-03-02,234.25,215
